Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2020,Duval,FL,Passenger,0,2,2,365,367,0.54
May 31 2022,Middlesex,MA,Passenger,1,0,1,92,93,1.08
November 30 2023,Pitt,NC,Passenger,0,1,1,5,6,16.67
December 31 2019,Douglas,WA,Passenger,67,38,105,28292,28397,0.37
March 31 2019,Grays Harbor,WA,Passenger,69,80,149,47583,47732,0.31
November 30 2022,San Francisco,CA,Passenger,1,0,1,77,78,1.28
December 31 2020,Charleston,SC,Passenger,2,0,2,95,97,2.06
July 31 2023,Kittitas,WA,Truck,10,0,10,14611,14621,0.07
January 31 2017,Manatee,FL,Passenger,1,0,1,59,60,1.67
August 31 2021,Loudoun,VA,Passenger,1,0,1,72,73,1.37
June 30 2019,Manassas,VA,Passenger,0,1,1,9,10,10.00
May 31 2023,Spokane,WA,Truck,38,0,38,101729,101767,0.04
March 31 2020,Harford,MD,Passenger,0,1,1,59,60,1.67
June 30 2020,Spokane,WA,Truck,1,0,1,98308,98309,0.00
February 28 2022,Chelan,WA,Truck,0,0,0,23061,23061,0.00
April 30 2024,San Diego,CA,Passenger,15,9,24,1716,1740,1.38
October 31 2017,Columbia,WA,Truck,0,0,0,1543,1543,0.00
January 31 2023,District of Columbia,DC,Passenger,2,0,2,158,160,1.25
October 31 2020,Salt Lake,UT,Passenger,0,1,1,193,194,0.52
February 29 2024,Adams,WA,Passenger,32,14,46,13043,13089,0.35
February 28 2021,Stevens,WA,Truck,0,0,0,18713,18713,0.00
November 30 2018,Kitsap,WA,Truck,1,0,1,53650,53651,0.00
October 31 2017,Prince William,VA,Passenger,0,4,4,268,272,1.47
March 31 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
January 31 2019,Monroe,IL,Passenger,1,0,1,3,4,25.00
January 31 2022,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
February 29 2020,San Mateo,CA,Passenger,0,1,1,125,126,0.79
December 31 2019,Hillsborough,FL,Passenger,0,1,1,192,193,0.52
April 30 2020,Prince William,VA,Passenger,2,4,6,225,231,2.60
December 31 2019,Montgomery,OH,Passenger,0,1,1,47,48,2.08
August 31 2021,Missoula,MT,Passenger,1,0,1,57,58,1.72
May 31 2022,Harnett,NC,Passenger,2,0,2,160,162,1.23
January 31 2024,Las Animas,CO,Passenger,1,0,1,0,1,100.00
April 30 2020,Cowlitz,WA,Truck,0,0,0,28760,28760,0.00
June 30 2018,Bexar,TX,Passenger,2,4,6,758,764,0.79
January 31 2017,Anne Arundel,MD,Passenger,0,1,1,514,515,0.19
August 31 2020,Mercer,NJ,Passenger,0,1,1,16,17,5.88
February 28 2023,Pulaski,MO,Passenger,3,0,3,97,100,3.00
April 30 2024,Santa Clara,CA,Passenger,7,2,9,127,136,6.62
August 31 2022,Denton,TX,Passenger,2,0,2,61,63,3.17
June 30 2023,Harnett,NC,Passenger,4,0,4,140,144,2.78
June 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
May 31 2017,Santa Fe,NM,Passenger,0,1,1,46,47,2.13
September 30 2022,Gwinnett,GA,Passenger,1,0,1,55,56,1.79
September 30 2021,Salt Lake,UT,Passenger,0,1,1,177,178,0.56
October 31 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
December 31 2018,Kitsap,WA,Passenger,946,544,1490,179799,181289,0.82
May 31 2019,Calvert,MD,Passenger,0,2,2,87,89,2.25
September 30 2018,Brevard,FL,Passenger,0,1,1,93,94,1.06
October 31 2019,Spartanburg,SC,Passenger,0,1,1,45,46,2.17
April 30 2022,Wood,OH,Passenger,0,1,1,6,7,14.29
February 28 2017,Pierce,WA,Passenger,862,778,1640,526651,528291,0.31
March 31 2024,Hennepin,MN,Passenger,1,0,1,26,27,3.70
August 31 2022,Skagit,WA,Truck,5,0,5,32199,32204,0.02
October 31 2023,Ada,ID,Passenger,2,0,2,102,104,1.92
October 31 2020,Maui,HI,Passenger,2,0,2,32,34,5.88
February 28 2023,Kauai,HI,Passenger,1,1,2,15,17,11.76
October 31 2023,Williamsburg,VA,Passenger,0,1,1,4,5,20.00
December 31 2021,Klickitat,WA,Passenger,89,53,142,15331,15473,0.92
January 31 2024,Kitsap,WA,Truck,113,0,113,51429,51542,0.22
December 31 2018,Clay,FL,Passenger,0,1,1,90,91,1.10
April 30 2023,Shasta,CA,Passenger,1,0,1,26,27,3.70
April 30 2020,Greene,MO,Passenger,0,1,1,34,35,2.86
September 30 2017,Clallam,WA,Passenger,95,83,178,48612,48790,0.36
February 29 2024,Pierce,WA,Passenger,10043,3293,13336,519075,532411,2.50
September 30 2022,Adams,WA,Truck,1,0,1,5422,5423,0.02
August 31 2017,Madison,ID,Passenger,1,0,1,37,38,2.63
April 30 2021,Jefferson,WA,Passenger,309,178,487,24890,25377,1.92
November 30 2019,Travis,TX,Passenger,4,1,5,213,218,2.29
October 31 2023,El Dorado,CA,Passenger,1,0,1,17,18,5.56
July 31 2017,Clark,WA,Passenger,795,517,1312,299922,301234,0.44
November 30 2018,Anne Arundel,MD,Passenger,0,1,1,450,451,0.22
October 31 2022,Santa Clara,CA,Passenger,12,4,16,231,247,6.48
July 31 2017,Montgomery,MD,Passenger,1,0,1,307,308,0.32
April 30 2020,Asotin,WA,Passenger,16,12,28,12437,12465,0.22
February 28 2021,DeKalb,GA,Passenger,1,0,1,67,68,1.47
April 30 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
October 31 2023,Collier,FL,Passenger,1,0,1,14,15,6.67
November 30 2017,King,WA,Passenger,11126,4613,15739,1371156,1386895,1.13
March 31 2019,Clark,WA,Passenger,1358,881,2239,311913,314152,0.71
March 31 2017,Clallam,WA,Truck,0,0,0,21038,21038,0.00
July 31 2017,Tulare,CA,Passenger,1,0,1,196,197,0.51
November 30 2020,Columbia,OR,Passenger,1,0,1,26,27,3.70
November 30 2021,New Haven,CT,Passenger,0,2,2,32,34,5.88
January 31 2019,Kent,MI,Passenger,0,1,1,25,26,3.85
June 30 2022,Rogers,OK,Passenger,1,0,1,2,3,33.33
August 31 2020,Garfield,WA,Passenger,0,1,1,1350,1351,0.07
June 30 2017,Maricopa,AZ,Passenger,2,1,3,1792,1795,0.17
November 30 2019,Jefferson,NY,Passenger,0,1,1,214,215,0.47
April 30 2022,Pima,AZ,Passenger,1,1,2,258,260,0.77
August 31 2017,Multnomah,OR,Passenger,1,3,4,941,945,0.42
April 30 2018,Brevard,FL,Passenger,0,1,1,104,105,0.95
November 30 2021,Clark,NV,Passenger,8,2,10,602,612,1.63
July 31 2022,Houston,GA,Passenger,1,0,1,33,34,2.94
May 31 2020,Placer,CA,Passenger,2,0,2,95,97,2.06
August 31 2019,Harrison,MS,Passenger,1,0,1,65,66,1.52
March 31 2024,Bartow,GA,Passenger,0,1,1,3,4,25.00
September 30 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
September 30 2022,Okanogan,WA,Truck,1,0,1,16504,16505,0.01
December 31 2018,Orange,FL,Passenger,2,0,2,168,170,1.18
July 31 2020,Whitman,WA,Passenger,45,49,94,22109,22203,0.42
February 29 2020,Monterey,CA,Passenger,0,1,1,189,190,0.53
October 31 2020,Collin,TX,Passenger,2,1,3,132,135,2.22
January 31 2022,Sarpy,NE,Passenger,1,0,1,71,72,1.39
January 31 2024,Cache,UT,Passenger,1,0,1,8,9,11.11
April 30 2022,Pierce,WA,Passenger,4828,2258,7086,548097,555183,1.28
May 31 2023,Pend Oreille,WA,Passenger,30,11,41,8890,8931,0.46
April 30 2018,San Diego,CA,Passenger,7,1,8,2567,2575,0.31
July 31 2022,Whatcom,WA,Truck,11,0,11,43191,43202,0.03
March 31 2022,Garfield,WA,Truck,0,0,0,998,998,0.00
November 30 2019,Deschutes,OR,Passenger,4,0,4,157,161,2.48
May 31 2021,Okaloosa,FL,Passenger,0,1,1,128,129,0.78
May 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
January 31 2024,Tarrant,TX,Passenger,1,0,1,77,78,1.28
July 31 2023,Snohomish,WA,Truck,187,0,187,121302,121489,0.15
September 30 2017,Pacific,WA,Passenger,12,9,21,15256,15277,0.14
February 28 2018,Lincoln,WA,Passenger,2,5,7,7594,7601,0.09
August 31 2019,Pima,AZ,Passenger,1,1,2,413,415,0.48
June 30 2020,Norfolk,VA,Passenger,2,2,4,344,348,1.15
August 31 2020,Prince George's,MD,Passenger,2,1,3,162,165,1.82
September 30 2022,Frederick,MD,Passenger,1,0,1,64,65,1.54
August 31 2018,Tarrant,TX,Passenger,1,0,1,214,215,0.47
February 28 2023,Louisa,VA,Passenger,0,1,1,1,2,50.00
September 30 2017,Nassau,NY,Passenger,1,1,2,42,44,4.55
November 30 2017,Alameda,CA,Passenger,0,1,1,358,359,0.28
August 31 2022,Stafford,VA,Passenger,2,1,3,88,91,3.30
July 31 2018,San Juan,WA,Passenger,149,62,211,14108,14319,1.47
March 31 2017,Okanogan,WA,Passenger,3,16,19,25634,25653,0.07
February 29 2020,Cascade,MT,Passenger,0,1,1,61,62,1.61
November 30 2020,Chelan,WA,Truck,0,0,0,22764,22764,0.00
April 30 2024,Charleston,SC,Passenger,1,2,3,38,41,7.32
February 28 2019,Nueces,TX,Passenger,1,1,2,90,92,2.17
August 31 2017,Canyon,ID,Passenger,0,1,1,99,100,1.00
April 30 2019,Saratoga,NY,Passenger,1,0,1,55,56,1.79
July 31 2019,Bucks,PA,Passenger,1,0,1,23,24,4.17
November 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
May 31 2019,Asotin,WA,Passenger,12,8,20,12669,12689,0.16
March 31 2017,Virginia Beach,VA,Passenger,2,1,3,647,650,0.46
May 31 2023,Larimer,CO,Passenger,1,0,1,32,33,3.03
October 31 2019,DeKalb,GA,Passenger,1,0,1,83,84,1.19
October 31 2020,Plaquemines,LA,Passenger,0,1,1,14,15,6.67
March 31 2018,Whatcom,WA,Passenger,575,260,835,146086,146921,0.57
October 31 2022,Salt Lake,UT,Passenger,1,1,2,136,138,1.45
October 31 2022,Hamilton,OH,Truck,1,0,1,4,5,20.00
May 31 2018,Walla Walla,WA,Passenger,34,42,76,35569,35645,0.21
April 30 2021,San Mateo,CA,Passenger,1,1,2,110,112,1.79
June 30 2019,,,Passenger,4,2,6,416,422,1.42
December 31 2020,Richland,SC,Passenger,0,1,1,144,145,0.69
July 31 2023,Prince George's,MD,Passenger,3,1,4,119,123,3.25
May 31 2019,Brevard,FL,Passenger,0,1,1,88,89,1.12
February 28 2021,El Dorado,CA,Passenger,1,0,1,36,37,2.70
December 31 2020,Dallas,IA,Passenger,0,1,1,10,11,9.09
April 30 2024,Kittitas,WA,Passenger,499,129,628,28548,29176,2.15
March 31 2021,Skamania,WA,Truck,0,0,0,4023,4023,0.00
April 30 2018,Montgomery,MD,Passenger,1,0,1,295,296,0.34
November 30 2021,Columbia,WA,Truck,0,0,0,1551,1551,0.00
December 31 2020,Kittitas,WA,Truck,0,0,0,14647,14647,0.00
March 31 2022,Douglas,WA,Truck,0,0,0,12723,12723,0.00
April 30 2020,Benton,WA,Passenger,347,321,668,134515,135183,0.49
November 30 2023,Pacific,WA,Passenger,87,102,189,15517,15706,1.20
January 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
June 30 2017,Spokane,WA,Truck,1,0,1,90616,90617,0.00
May 31 2020,Walla Walla,WA,Passenger,70,62,132,35807,35939,0.37
February 28 2017,Ventura,CA,Passenger,0,2,2,386,388,0.52
January 31 2019,Arlington,VA,Passenger,1,2,3,163,166,1.81
September 30 2021,Orange,NC,Passenger,0,1,1,13,14,7.14
March 31 2020,Multnomah,OR,Passenger,4,7,11,757,768,1.43
February 28 2021,Pacific,WA,Passenger,37,38,75,15807,15882,0.47
April 30 2023,St. Clair,IL,Passenger,1,0,1,104,105,0.95
November 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
December 31 2022,Okaloosa,FL,Passenger,0,1,1,99,100,1.00
January 31 2020,Columbia,OR,Passenger,1,0,1,28,29,3.45
July 31 2020,Nassau,FL,Passenger,1,0,1,34,35,2.86
February 29 2020,Chelan,WA,Passenger,216,78,294,54600,54894,0.54
July 31 2021,Chesapeake,VA,Passenger,0,3,3,414,417,0.72
March 31 2017,Juneau,AK,Passenger,0,1,1,54,55,1.82
August 31 2021,Baltimore,MD,Passenger,1,0,1,103,104,0.96
February 28 2019,Monterey,CA,Passenger,0,1,1,190,191,0.52
December 31 2019,Oklahoma,OK,Passenger,0,1,1,135,136,0.74
October 31 2019,Hawaii,HI,Passenger,1,0,1,61,62,1.61
October 31 2022,Lake,IN,Passenger,0,1,1,11,12,8.33
April 30 2019,Franklin,WA,Truck,0,0,0,19211,19211,0.00
October 31 2019,Chelan,WA,Passenger,191,75,266,54651,54917,0.48
March 31 2017,Salt Lake,UT,Passenger,0,1,1,310,311,0.32
April 30 2020,Lake,IL,Passenger,1,0,1,173,174,0.57
April 30 2022,Allegheny,PA,Passenger,2,1,3,67,70,4.29
June 30 2017,Grant,WA,Passenger,20,27,47,60838,60885,0.08
June 30 2017,Klickitat,WA,Passenger,23,24,47,14801,14848,0.32
February 29 2024,Skagit,WA,Truck,39,0,39,31230,31269,0.12
April 30 2020,Solano,CA,Passenger,1,0,1,215,216,0.46
September 30 2022,Dallas,TX,Passenger,1,0,1,110,111,0.90
November 30 2023,Virginia Beach,VA,Truck,1,0,1,98,99,1.01
December 31 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
December 31 2021,Kitsap,WA,Truck,0,0,0,54126,54126,0.00
September 30 2020,Chelan,WA,Passenger,260,80,340,54301,54641,0.62
April 30 2020,Alameda,CA,Passenger,3,1,4,290,294,1.36
February 28 2023,Lane,OR,Passenger,0,2,2,89,91,2.20
November 30 2019,Brevard,FL,Passenger,0,1,1,92,93,1.08
March 31 2022,Grant,WA,Truck,0,0,0,28032,28032,0.00
October 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 29 2024,Franklin,WA,Passenger,400,175,575,61837,62412,0.92
September 30 2021,Skamania,WA,Passenger,53,39,92,8373,8465,1.09
October 31 2017,Tulare,CA,Passenger,1,0,1,194,195,0.51
December 31 2021,Newport,RI,Passenger,0,1,1,73,74,1.35
June 30 2021,Douglas,CO,Passenger,0,1,1,82,83,1.20
February 29 2024,San Juan,WA,Passenger,698,205,903,13480,14383,6.28
November 30 2017,Pima,AZ,Passenger,1,1,2,432,434,0.46
December 31 2019,Maricopa,AZ,Passenger,7,8,15,1595,1610,0.93
April 30 2017,Moore,NC,Passenger,0,1,1,205,206,0.49
October 31 2018,Charles,MD,Passenger,0,1,1,85,86,1.16
July 31 2021,Charleston,SC,Passenger,1,1,2,90,92,2.17
June 30 2023,Wake,NC,Passenger,3,0,3,83,86,3.49
May 31 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
January 31 2024,Kauai,HI,Passenger,0,1,1,11,12,8.33
April 30 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
June 30 2018,Franklin,MA,Passenger,0,1,1,1,2,50.00
May 31 2020,Asotin,WA,Passenger,16,12,28,12331,12359,0.23
May 31 2017,Clallam,WA,Passenger,84,74,158,48205,48363,0.33
March 31 2018,St. Lucie,FL,Passenger,1,0,1,27,28,3.57
July 31 2020,Valencia,NM,Passenger,1,0,1,8,9,11.11
February 29 2024,Yakima,WA,Passenger,681,310,991,165401,166392,0.60
October 31 2023,Hawaii,HI,Passenger,1,0,1,26,27,3.70
June 30 2021,Henrico,VA,Passenger,0,1,1,15,16,6.25
May 31 2022,Franklin,WA,Passenger,181,110,291,61976,62267,0.47
July 31 2023,Wilson,TX,Passenger,0,1,1,3,4,25.00
February 29 2020,Island,WA,Truck,1,0,1,21325,21326,0.00
April 30 2019,Prince George's,MD,Passenger,1,1,2,188,190,1.05
January 31 2019,Los Angeles,CA,Passenger,5,5,10,1122,1132,0.88
November 30 2018,Spokane,WA,Passenger,407,358,765,306833,307598,0.25
November 30 2022,Benton,WA,Truck,7,0,7,43386,43393,0.02
January 31 2017,Wayne,MI,Passenger,0,2,2,80,82,2.44
September 30 2022,Portsmouth,VA,Passenger,0,1,1,77,78,1.28
July 31 2019,Lewis,WA,Truck,0,0,0,25965,25965,0.00
April 30 2019,Allegheny,PA,Passenger,1,0,1,91,92,1.09
October 31 2022,Skagit,WA,Truck,8,0,8,32200,32208,0.02
July 31 2020,Okanogan,WA,Truck,0,0,0,16487,16487,0.00
October 31 2022,Franklin,WA,Passenger,239,112,351,61731,62082,0.57
April 30 2023,Bell,TX,Passenger,1,0,1,280,281,0.36
January 31 2018,Travis,TX,Passenger,1,1,2,196,198,1.01
April 30 2021,Portsmouth,VA,Passenger,0,1,1,79,80,1.25
June 30 2022,Gwinnett,GA,Passenger,1,0,1,52,53,1.89
February 28 2023,St. Lawrence,NY,Passenger,1,0,1,2,3,33.33
May 31 2018,Asotin,WA,Truck,0,0,0,6629,6629,0.00
October 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
March 31 2021,Wilson,TX,Passenger,0,1,1,5,6,16.67
January 31 2022,Sevier,AR,Passenger,0,1,1,0,1,100.00
March 31 2024,Walla Walla,WA,Passenger,275,144,419,34813,35232,1.19
June 30 2022,Whatcom,WA,Truck,7,0,7,43332,43339,0.02
April 30 2023,Honolulu,HI,Passenger,3,3,6,304,310,1.94
March 31 2021,Middlesex,MA,Passenger,1,0,1,100,101,0.99
November 30 2020,Nassau,NY,Passenger,4,0,4,33,37,10.81
December 31 2019,Pierce,WA,Truck,0,0,0,140814,140814,0.00
July 31 2023,Benton,WA,Truck,26,0,26,43175,43201,0.06
July 31 2022,Grays Harbor,WA,Truck,2,0,2,21220,21222,0.01
November 30 2020,Dakota,MN,Passenger,0,1,1,29,30,3.33
November 30 2018,DuPage,IL,Passenger,1,0,1,60,61,1.64
July 31 2022,Rockdale,GA,Passenger,1,0,1,7,8,12.50
May 31 2019,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27
May 31 2023,Essex,MA,Passenger,1,0,1,11,12,8.33
April 30 2022,Yakima,WA,Passenger,318,183,501,167325,167826,0.30
September 30 2019,Ferry,WA,Passenger,5,2,7,4425,4432,0.16
June 30 2019,Asotin,WA,Truck,0,0,0,6667,6667,0.00
April 30 2021,Richmond,NY,Passenger,1,0,1,7,8,12.50
February 28 2023,Palm Beach,FL,Passenger,1,1,2,54,56,3.57
June 30 2023,Kittitas,WA,Truck,8,0,8,14609,14617,0.05
October 31 2021,Wake,NC,Passenger,1,0,1,129,130,0.77
May 31 2020,Nueces,TX,Passenger,1,0,1,81,82,1.22
December 31 2023,Grays Harbor,WA,Truck,14,0,14,20799,20813,0.07
May 31 2022,Lane,OR,Passenger,0,2,2,102,104,1.92
June 30 2021,Franklin,WA,Truck,0,0,0,20695,20695,0.00
March 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
January 31 2018,Frederick,MD,Passenger,0,1,1,90,91,1.10
October 31 2022,Cowlitz,WA,Truck,4,0,4,28428,28432,0.01
May 31 2019,Camden,NJ,Passenger,0,1,1,23,24,4.17
January 31 2023,Adams,CO,Passenger,1,0,1,31,32,3.12
June 30 2023,Sarpy,NE,Passenger,1,0,1,59,60,1.67
February 28 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
December 31 2023,Bartow,GA,Passenger,0,1,1,4,5,20.00
July 31 2020,Multnomah,OR,Passenger,4,7,11,732,743,1.48
July 31 2020,Pima,AZ,Passenger,3,1,4,360,364,1.10
February 29 2024,Cowlitz,WA,Truck,14,0,14,27572,27586,0.05
October 31 2022,Beaufort,SC,Passenger,1,0,1,30,31,3.23
January 31 2023,Madison,IL,Passenger,2,0,2,16,18,11.11
July 31 2023,Currituck,NC,Passenger,1,0,1,19,20,5.00
June 30 2022,Wake,NC,Passenger,1,0,1,98,99,1.01
May 31 2018,Collin,TX,Passenger,1,0,1,163,164,0.61
April 30 2019,Collin,TX,Passenger,2,1,3,148,151,1.99
June 30 2018,Walla Walla,WA,Truck,0,0,0,13418,13418,0.00
October 31 2023,Kern,CA,Passenger,1,1,2,157,159,1.26
September 30 2019,Harnett,NC,Passenger,1,1,2,221,223,0.90
May 31 2021,Orange,NC,Passenger,0,1,1,13,14,7.14
March 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
March 31 2022,St. Mary's,MD,Passenger,1,0,1,205,206,0.49
July 31 2022,Goochland,VA,Passenger,3,2,5,136,141,3.55
May 31 2017,Morris,NJ,Passenger,1,0,1,24,25,4.00
November 30 2023,King,WA,Truck,962,2,964,172797,173761,0.55
February 28 2019,Wahkiakum,WA,Truck,0,0,0,1720,1720,0.00
January 31 2017,Grant,WA,Passenger,16,21,37,60380,60417,0.06
March 31 2022,Pima,AZ,Passenger,1,1,2,269,271,0.74
September 30 2021,Fresno,CA,Passenger,1,0,1,181,182,0.55
February 28 2022,Tarrant,TX,Passenger,3,0,3,146,149,2.01
September 30 2022,Washtenaw,MI,Passenger,0,1,1,27,28,3.57
February 28 2023,Lincoln,OR,Passenger,0,1,1,16,17,5.88
December 31 2017,Prince William,VA,Passenger,0,4,4,271,275,1.45
March 31 2019,Spartanburg,SC,Passenger,0,1,1,37,38,2.63
June 30 2017,Klickitat,WA,Truck,0,0,0,7963,7963,0.00
August 31 2023,Lake,IN,Passenger,0,1,1,7,8,12.50
May 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
October 31 2017,Orange,CA,Passenger,3,1,4,616,620,0.65
March 31 2023,Chesterfield,VA,Passenger,1,0,1,38,39,2.56
June 30 2022,Walla Walla,WA,Passenger,172,100,272,35893,36165,0.75
September 30 2017,Franklin,WA,Passenger,29,48,77,56178,56255,0.14
March 31 2020,Hawaii,HI,Passenger,1,0,1,63,64,1.56
October 31 2021,Hamilton,OH,Passenger,1,0,1,40,41,2.44
December 31 2022,King,WA,Passenger,48129,12234,60363,1334737,1395100,4.33
May 31 2019,Harnett,NC,Passenger,1,1,2,223,225,0.89
September 30 2017,Shelby,TN,Passenger,0,1,1,109,110,0.91
April 30 2021,Monterey,CA,Passenger,0,2,2,159,161,1.24
March 31 2021,Morris,NJ,Passenger,1,0,1,15,16,6.25
June 30 2017,Nueces,TX,Passenger,0,1,1,96,97,1.03
February 28 2023,Muscogee,GA,Passenger,0,1,1,107,108,0.93
October 31 2021,Denton,TX,Passenger,1,0,1,77,78,1.28
February 29 2024,Marion,IA,Passenger,1,0,1,0,1,100.00
August 31 2019,Island,WA,Passenger,335,245,580,63414,63994,0.91
June 30 2020,Jefferson,WA,Truck,0,0,0,9530,9530,0.00
October 31 2018,Arlington,VA,Passenger,1,1,2,167,169,1.18
May 31 2018,Marin,CA,Passenger,1,0,1,56,57,1.75
September 30 2023,Montgomery,MD,Passenger,6,3,9,172,181,4.97
March 31 2019,Asotin,WA,Truck,0,0,0,6629,6629,0.00
July 31 2021,Sacramento,CA,Passenger,2,1,3,243,246,1.22
April 30 2024,Jefferson,NY,Passenger,2,0,2,158,160,1.25
May 31 2017,Island,WA,Truck,0,0,0,20525,20525,0.00
October 31 2017,Island,WA,Truck,0,0,0,20592,20592,0.00
October 31 2018,Franklin,WA,Truck,0,0,0,18947,18947,0.00
August 31 2023,Orange,CA,Truck,1,0,1,62,63,1.59
July 31 2023,Los Angeles,CA,Passenger,6,4,10,637,647,1.55
May 31 2023,Contra Costa,CA,Passenger,1,3,4,182,186,2.15
August 31 2018,King,WA,Truck,7,1,8,182961,182969,0.00
October 31 2018,Kittitas,WA,Truck,0,0,0,14130,14130,0.00
July 31 2021,Kittitas,WA,Truck,0,0,0,14794,14794,0.00
March 31 2022,,,Passenger,5,2,7,327,334,2.10
January 31 2024,Monterey,CA,Passenger,0,4,4,117,121,3.31
August 31 2023,Larimer,CO,Passenger,1,0,1,28,29,3.45
December 31 2022,Chelan,WA,Passenger,534,142,676,54195,54871,1.23
August 31 2020,Whitman,WA,Passenger,46,48,94,22005,22099,0.43
August 31 2021,Lincoln,WA,Passenger,7,15,22,7692,7714,0.29
July 31 2020,Clallam,WA,Truck,1,0,1,21690,21691,0.00
August 31 2022,Cowlitz,WA,Truck,2,0,2,28431,28433,0.01
August 31 2021,Spartanburg,SC,Passenger,0,1,1,52,53,1.89
February 28 2022,Mercer,NJ,Passenger,0,1,1,14,15,6.67
February 29 2024,Oldham,KY,Passenger,0,1,1,2,3,33.33
November 30 2019,Los Angeles,CA,Passenger,6,10,16,1098,1114,1.44
July 31 2019,Spokane,WA,Truck,1,0,1,95220,95221,0.00
June 30 2017,Adams,WA,Truck,0,0,0,5106,5106,0.00
November 30 2023,Lane,OR,Passenger,0,2,2,59,61,3.28
February 28 2019,St. Lucie,FL,Passenger,1,0,1,29,30,3.33
September 30 2023,Prince George's,MD,Passenger,3,1,4,116,120,3.33
January 31 2020,Duval,FL,Passenger,1,2,3,376,379,0.79
November 30 2021,Currituck,NC,Passenger,1,0,1,23,24,4.17
September 30 2018,Clark,WA,Passenger,1089,784,1873,309676,311549,0.60
June 30 2020,Chelan,WA,Passenger,231,78,309,54181,54490,0.57
July 31 2019,New London,CT,Passenger,0,1,1,237,238,0.42
February 28 2019,El Paso,TX,Passenger,2,0,2,495,497,0.40
March 31 2022,Queens,NY,Passenger,1,0,1,52,53,1.89
July 31 2017,Essex,NJ,Passenger,1,0,1,16,17,5.88
January 31 2017,Franklin,WA,Truck,0,0,0,17907,17907,0.00
August 31 2019,Klickitat,WA,Truck,0,0,0,8290,8290,0.00
September 30 2021,District of Columbia,DC,Passenger,4,0,4,193,197,2.03
August 31 2019,Owyhee,ID,Passenger,1,0,1,4,5,20.00
October 31 2020,Carroll,NH,Passenger,0,1,1,5,6,16.67
November 30 2019,San Juan,WA,Passenger,243,78,321,14399,14720,2.18
October 31 2019,Skamania,WA,Truck,0,0,0,4098,4098,0.00
November 30 2017,Dallas,TX,Passenger,0,1,1,188,189,0.53
March 31 2024,Collier,FL,Passenger,1,0,1,11,12,8.33
April 30 2024,Richland,SC,Passenger,0,1,1,78,79,1.27
September 30 2019,Yakima,WA,Truck,0,0,0,59389,59389,0.00
March 31 2019,Kitsap,WA,Truck,1,0,1,53736,53737,0.00
November 30 2021,Fairbanks North Star,AK,Passenger,0,1,1,82,83,1.20
January 31 2019,Sangamon,IL,Passenger,1,0,1,8,9,11.11
August 31 2021,Howard,IN,Passenger,0,1,1,5,6,16.67
July 31 2021,Lane,OR,Passenger,0,2,2,128,130,1.54
September 30 2021,Richland,SC,Passenger,0,1,1,140,141,0.71
November 30 2023,Thurston,WA,Passenger,3682,1367,5049,189450,194499,2.60
February 28 2019,El Paso,CO,Passenger,3,2,5,766,771,0.65
May 31 2018,Clay,FL,Passenger,0,1,1,96,97,1.03
February 28 2023,Skamania,WA,Truck,1,0,1,3871,3872,0.03
January 31 2023,Kern,CA,Passenger,1,1,2,200,202,0.99
April 30 2022,Penobscot,ME,Passenger,0,1,1,7,8,12.50
December 31 2018,Ferry,WA,Passenger,3,2,5,4385,4390,0.11
December 31 2019,Clay,FL,Passenger,0,1,1,89,90,1.11
February 28 2023,Pend Oreille,WA,Truck,0,0,0,5582,5582,0.00
March 31 2019,Virginia Beach,VA,Passenger,1,1,2,690,692,0.29
December 31 2022,Hamilton,OH,Passenger,1,0,1,32,33,3.03
November 30 2021,Pulaski,MO,Passenger,2,0,2,129,131,1.53
March 31 2022,Washington,MD,Passenger,2,0,2,12,14,14.29
November 30 2018,Jefferson,WA,Passenger,169,104,273,24793,25066,1.09
November 30 2020,Clark,NV,Passenger,4,2,6,678,684,0.88
May 31 2023,Placer,CA,Passenger,1,0,1,62,63,1.59
