Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2021,New Haven,CT,Passenger,0,2,2,33,35,5.71
July 31 2020,Kitsap,WA,Truck,0,0,0,54128,54128,0.00
October 31 2018,Walla Walla,WA,Truck,0,0,0,13509,13509,0.00
June 30 2017,Jackson,MO,Passenger,1,0,1,62,63,1.59
October 31 2023,Fredericksburg,VA,Passenger,1,0,1,5,6,16.67
July 31 2019,Kitsap,WA,Passenger,1091,625,1716,181189,182905,0.94
April 30 2022,Pacific,WA,Passenger,60,68,128,15922,16050,0.80
December 31 2022,Chelan,WA,Truck,13,0,13,23074,23087,0.06
May 31 2019,Douglas,WA,Truck,0,0,0,12181,12181,0.00
August 31 2023,Chesapeake,VA,Passenger,2,2,4,294,298,1.34
March 31 2021,Broward,FL,Passenger,1,0,1,114,115,0.87
January 31 2017,King,WA,Passenger,8802,3620,12422,1387096,1399518,0.89
August 31 2020,Maricopa,AZ,Passenger,5,10,15,1481,1496,1.00
April 30 2023,Maricopa,AZ,Passenger,11,5,16,774,790,2.03
January 31 2021,Kern,CA,Passenger,0,1,1,219,220,0.45
May 31 2023,Shasta,CA,Passenger,1,0,1,27,28,3.57
March 31 2022,Clackamas,OR,Passenger,2,0,2,163,165,1.21
December 31 2019,Larimer,CO,Passenger,1,0,1,54,55,1.82
October 31 2020,Kauai,HI,Passenger,1,0,1,18,19,5.26
September 30 2021,Klickitat,WA,Passenger,83,51,134,15378,15512,0.86
August 31 2022,Clallam,WA,Passenger,436,247,683,49512,50195,1.36
November 30 2020,Multnomah,OR,Passenger,3,6,9,717,726,1.24
September 30 2017,Orange,CA,Passenger,3,1,4,619,623,0.64
June 30 2018,Williamson,TX,Passenger,0,1,1,166,167,0.60
February 28 2022,Fresno,CA,Passenger,1,0,1,175,176,0.57
August 31 2020,Clay,FL,Passenger,0,1,1,86,87,1.15
January 31 2021,Carson City,NV,Passenger,1,0,1,12,13,7.69
February 28 2021,Eagle,CO,Passenger,1,0,1,7,8,12.50
May 31 2022,Carroll,NH,Passenger,0,1,1,5,6,16.67
March 31 2024,King,WA,Passenger,74244,18128,92372,1293761,1386133,6.66
November 30 2023,Ada,ID,Passenger,2,0,2,99,101,1.98
April 30 2024,Skagit,WA,Truck,40,0,40,30517,30557,0.13
September 30 2019,Jefferson,WA,Truck,0,0,0,9679,9679,0.00
June 30 2020,Charles,MD,Passenger,1,1,2,78,80,2.50
March 31 2019,Spokane,WA,Truck,1,0,1,94000,94001,0.00
March 31 2021,Lewis,WA,Truck,0,0,0,26808,26808,0.00
April 30 2024,San Juan,WA,Truck,31,0,31,5702,5733,0.54
June 30 2022,Asotin,WA,Truck,0,0,0,6711,6711,0.00
July 31 2017,Utah,UT,Passenger,0,1,1,161,162,0.62
March 31 2019,San Francisco,CA,Passenger,2,1,3,115,118,2.54
September 30 2022,Albemarle,VA,Passenger,2,0,2,20,22,9.09
October 31 2023,Shasta,CA,Passenger,1,0,1,24,25,4.00
September 30 2020,Chelan,WA,Truck,0,0,0,22716,22716,0.00
August 31 2023,Grant,WA,Truck,12,0,12,28123,28135,0.04
November 30 2019,Fresno,CA,Passenger,1,0,1,204,205,0.49
